Text Query;Generated SQL Query
Show me the names of employees and their departments.;"SELECT e.first_name, e.last_name, d.department_name FROM employees AS e JOIN departments AS d ON e.department_id = d.department_id;"
What is the highest salary?;SELECT MAX(salary::int) AS max_salary FROM sales.salaries;
List all orders that were made in the last 30 days.;"SELECT sales.orders.order_date, sales.orders.customer_id, sales.orders.sales_rep_id FROM sales.orders WHERE sales.orders.order_date >= (CURRENT_DATE - interval '30 day') ORDER BY sales.orders.order_date NULLS LAST;"
What are the total sales grouped by region?;"SELECT sales.sales_reps.region, SUM(analytics.sales_reports.total_sales::TEXT::INTEGER) AS total_sales FROM sales.orders JOIN sales.sales_reps ON sales.orders.sales_rep_id = sales.sales_reps.sales_rep_id JOIN analytics.sales_reports ON sales.sales_reps.region::TEXT = analytics.sales_reports.region::TEXT GROUP BY sales.sales_reps.region;"
"List employees whose salary is greater than $50,000.";"SELECT first_name, last_name FROM sales.employees JOIN sales.salaries ON sales.employees.employee_id = sales.salaries.employee_id WHERE sales.salaries.salary_amount > '50,000'::money;"
Get the names of customers and their lifetime value.;"SELECT customer_name, lifetime_value::TEXT FROM sales.customers JOIN analytics.customer_metrics ON sales.customers.customer_id = analytics.customer_metrics.customer_id;"
Show products where the sales quantity is above 100.;"SELECT sales.products.product_name, analytics.product_performance.sales_quantity FROM sales.products JOIN analytics.product_performance ON sales.products.product_id = analytics.product_performance.product_id WHERE analytics.product_performance.sales_quantity > 100 ORDER BY sales.products.product_name NULLS LAST;"
Which departments are managed by the employee with ID 5?;SELECT department_name FROM sales.departments AS sd WHERE sd.manager_id IN (SELECT eo.employee_id FROM sales.order_items oi JOIN sales.orders o ON oi.order_id = o.order_id JOIN sales.employees eo ON eo.employee_id = 5) AND department_id != <to_find_manager>;
List all sales representatives working in the 'West' region.;"SELECT sales.sales_reps.first_name, sales.sales_reps.last_name FROM sales.sales_reps WHERE sales.sales_reps.region ilike '%West%';"
What is the most recent sales report date?;SELECT MAX(report_date::TEXT::DATE) AS latest_report_date FROM analytics.sales_reports;
